index_right,gu_name,grid_id,driving_pop,fast_count,slow_count,total_output_kw,total_active_count,pop_per_charger,poi_count,exclude,log_pop_per_charger,s_pop_per_charger,s_poi,s_capacity_lack,s_population,s_poi_spatial
20,광진구,NE_GRID_1251,660,0,0,0,0,660,0,0,6.49375384,0.850642376,0,1,0.210185934,0
20,광진구,NE_GRID_1253,1006,0,0,0,0,1006,1,0,6.914730893,0.919929094,0.102689518,1,0.489894907,0.09719923
21,성동구,NE_GRID_1255,561,0,0,0,0,561,38,0,6.33150185,0.823938052,0.542755406,1,0.130153597,0.545104538
21,성동구,NE_GRID_1256,901,3,10,220,13,64.35714286,145,0,4.179866736,0.469810115,0.738319618,0.512738477,0.405012126,0.761139349
21,성동구,NE_GRID_1257,400,2,9,163,11,33.33333333,203,0,3.5361167,0.363858194,0.78787766,0.54120004,0,0.827302069
21,성동구,NE_GRID_1258,901,2,3,78,5,150.1666667,261,0,5.018382981,0.607817729,0.824948336,0.669179052,0.405012126,0.851795156
21,성동구,NE_GRID_1259,410,0,49,199,49,8.2,121,0,2.219203484,0.147113377,0.711714076,0.277704859,0.008084074,0.748290179
21,성동구,NE_GRID_1260,596,0,0,0,0,596,55,0,6.391917113,0.833881528,0.596354478,1,0.158447858,0.576602861
21,성동구,NE_GRID_1261,643,0,0,0,0,643,0,0,6.467698726,0.846354082,0,1,0.196443007,0.062718936
21,성동구,NE_GRID_1262,643,0,0,0,0,643,0,0,6.467698726,0.846354082,0,1,0.196443007,0
21,성동구,NE_GRID_1263,640,0,0,0,0,640,0,0,6.463029457,0.845585588,0,1,0.194017785,0
19,동대문구,NE_GRID_1264,970,0,0,0,0,970,0,0,6.878326468,0.913937454,0,1,0.460792239,0.075229874
21,성동구,NE_GRID_1265,1008,0,4,28,4,201.6,124,0,5.311233592,0.656016692,0.71531303,0.702841936,0.491511722,0.677068868
19,동대문구,NE_GRID_1266,1016,0,4,28,4,203.2,124,0,5.319099906,0.657311373,0.71531303,0.702841936,0.497978981,0.75153231
